ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AJ6223,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/rock-it-allover-print-hooded-track-jacket-bfm59.html?a=214_55464
AJ6270,65,,65.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/team-tee-bfm77.html?a=214_56050
AJ6271,65,,65.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/team-tee-bfm77.html?a=214_56018
AJ6272,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/team-hoodie-bfm75.html?a=214_56010
AJ6278,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-camouflage-shorts-bft78.html?a=214_57011
AJ6279,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sport-essentials-camouflage-shorts-bft78.html?a=214_56873
AJ6393,120,,120.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/branded-tee-bfp95.html?a=214_48072
AJ6412,100,,100.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/v-tee-bfp98.html?a=214_48179
AJ6557,75,,75.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/team-woven-shorts-bfm78.html?a=214_56062
AJ6586,150,,150.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/typo-racer-back-bra-bhg75.html?a=214_48197
AJ6588,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/triax-racer-back-bra-bhg76.html?a=214_55901
AJ6964,220,,220.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-airliner-bag-bgu58.html?a=214_48778
AJ7012,90,,90.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/court-tee-bbk46.html?a=214_56000
AJ7018,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/court-polo-shirt-bbk44.html?a=214_48348
AJ7099,230,,230.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/street-basketball-hoodie-bha68.html?a=214_56491
AJ7108,99,,99.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/prism-trefoil-tee-bha61.html?a=214_56415
AJ7140,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/hand-drawn-basketball-tee-bha48.html?a=214_56419
AJ7142,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/basketball-tongue-label-tee-bha47.html?a=214_56413
AJ7166,120,,120.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/03-star-tee-bha37.html?a=214_56507
AJ7183,120,,120.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/photo-tee-bha33.html?a=214_48804
AJ7230,270,,270.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/track-jacket-bgt63.html?a=214_56463
AJ7232,160,,160.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/leggings-bgt61.html?a=214_56387
AJ7234,320,,320.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/kimono-track-jacket-bgt59.html?a=214_56519
AJ7242,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/boyfriend-tee-bgt55.html?a=214_56391
AJ7266,220,,220.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/kimono-tank-top-bgt54.html?a=214_56533
AJ7343,480,,480.00,,Yes,Success,2016-30-01 00:00:00,http://adidasmystg.specom.io/eqt-windbreaker-bhc83.html?a=214_48970
AJ7379,90,,90.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/training-marathon-shorts-bfu22.html?a=214_48114
AJ7387,95,,95.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/training-three-quarter-tights-bfu30.html?a=214_56082
