ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AQ2555,330,,330.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-firm-ground-boots-kdw44.html?a=214_48616
AQ2557,330,,330.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-firm-ground-boots-kdw44.html?a=214_56239
AQ2561,210,,210.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-indoor-shoes-kdw48.html?a=214_56639
AQ2565,250,,250.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-firm-ground-boots-kdw50.html?a=214_56245
AQ2566,250,,250.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-firm-ground-boots-kdw50.html?a=214_56243
AQ2590,330,,330.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-indoor-shoes-kdw46.html?a=214_49159
AQ2915,480,,480.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/tubular-runner-shoes-kdl58.html?a=214_48565
AQ3082,1000,,1000.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-1-primeknit-firm-ground-boots-kdf97.html?a=214_56216
AQ3925,330,,330.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-3-primemesh-firm-ground-boots-kdw44.html?a=214_56643
AQ4439,430,,430.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pure-boost-2-0-shoes-gwe18.html?a=214_57086
AQ4440,430,,430.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pure-boost-2-0-shoes-gwe18.html?a=214_57094
AQ4441,430,,430.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pure-boost-2-0-shoes-gwe19.html?a=214_55945
AQ4442,430,,430.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/pure-boost-2-0-shoes-gwe19.html?a=214_55943
AQ4823,140,,140.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/sport-2-0-shoes-kcx21.html?a=214_47980
AQ4845,160,,160.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/hyperfast-2-0-shoes-kcx08.html?a=214_55790
AQ4878,370,,370.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/gymbreaker-bounce-shoes-iuv78.html?a=214_47550
AQ4895,410,,410.00,,Yes,Success,2016-05-02 00:00:00,http://adidasmystg.specom.io/ace-16-2-firm-ground-boots-kcv03.html?a=214_55602
AQ4901,280,,280.00,,Yes,Success,2016-05-02 00:00:00,http://adidasmystg.specom.io/ace-16-3-firm-ground-boots-kcu46.html?a=214_55625
AQ4935,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adilette-supercloud-plus-slides-kdh69.html?a=214_55516
AQ4936,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adilette-supercloud-plus-slides-kdh69.html?a=214_55518
AQ5050,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adilette-supercloud-plus-explorer-slides-kdf63.html?a=214_55568
AQ5069,199,,199.00,,Yes,Success,2016-05-02 00:00:00,http://adidasmystg.specom.io/ace-16-4-indoor-shoes-kcu06.html?a=214_55570
AQ5151,1000,,1000.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-1-primeknit-firm-ground-boots-kdf97.html?a=214_47703
AQ5256,70,,70.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/duramo-slides-kdg44.html?a=214_47637
