"articlenumber_value","price","special_price","releasedate"
"AJ5775","1990",,"2016-01-02 00:00:00"
"AJ5778","1490",,"2016-01-02 00:00:00"
"AJ6044","990",,"2016-01-02 00:00:00"
"AJ6053","2590",,"2016-01-02 00:00:00"
"AJ6067","790",,"2016-01-02 00:00:00"
"AJ6131","890",,"2016-01-01 00:00:00"
"AJ6278","1390",,"2016-01-02 00:00:00"
"AJ6279","1390",,"2016-01-02 00:00:00"
"AJ6393","1190",,"2016-01-01 00:00:00"
"AJ6412","990",,"2016-01-01 00:00:00"
"AJ6586","1590",,"2016-01-01 00:00:00"
"AJ6588","1590",,"2016-01-02 00:00:00"
"AJ6964","2690",,"2016-01-01 00:00:00"
"AJ7012","790",,"2016-01-01 00:00:00"
"AJ7018","890",,"2016-01-01 00:00:00"
"AJ7099","2890",,"2016-01-02 00:00:00"
"AJ7108","990",,"2016-01-02 00:00:00"
"AJ7140","1290",,"2016-01-02 00:00:00"
"AJ7142","1290",,"2016-01-02 00:00:00"
"AJ7166","1290",,"2016-01-02 00:00:00"
"AJ7183","1090",,"2016-01-01 00:00:00"
"AJ7230","2590",,"2016-01-02 00:00:00"
"AJ7232","1490",,"2016-01-02 00:00:00"
"AJ7234","2990",,"2016-01-02 00:00:00"
"AJ7242","1890",,"2016-01-02 00:00:00"
"AJ7266","1990",,"2016-01-02 00:00:00"
"AJ7343","4590",,"2016-30-01 00:00:00"
"AJ7379","890",,"2016-01-01 00:00:00"
"AJ7387","1090",,"2016-01-02 00:00:00"
"AJ7634","2590",,"2016-01-01 00:00:00"
"AJ7830","1690",,"2016-01-02 00:00:00"
"AJ7880","2590",,"2016-01-02 00:00:00"
"AJ7882","2590",,"2016-01-02 00:00:00"
"AJ7888","2590",,"2016-01-01 00:00:00"
"AJ7889","2590",,"2016-01-01 00:00:00"
"AJ7903","1690",,"2016-01-01 00:00:00"
"AJ7974","2890",,"2016-01-02 00:00:00"
"AJ7975","2890",,"2016-01-02 00:00:00"
"AJ7983","1690",,"2016-01-02 00:00:00"
"AJ7984","2890",,"2016-01-02 00:00:00"
"AJ8050","2590",,"2016-01-02 00:00:00"
"AJ8148","3290",,"2016-01-01 00:00:00"
"AJ8153","1290",,"2016-01-01 00:00:00"
"AJ8179","2290",,"2016-01-02 00:00:00"
"AJ8225","2390",,"2016-01-02 00:00:00"
"AJ8413","2890",,"2016-01-01 00:00:00"
"AJ8453","2890",,"2016-01-01 00:00:00"
"AJ8527","1390",,"2016-15-01 00:00:00"
"AJ8608","2490",,"2016-01-01 00:00:00"
"AJ8705","890",,"2016-01-01 00:00:00"
"AJ8857","1590",,"2016-01-02 00:00:00"
"AJ8860","1490",,"2016-01-02 00:00:00"
"AJ8867","2590",,"2016-01-02 00:00:00"
"AJ8868","2690",,"2016-01-02 00:00:00"
"AJ8869","1490",,"2016-01-02 00:00:00"
"AJ8870","1690",,"2016-01-02 00:00:00"
"AJ8880","1490",,"2016-01-01 00:00:00"
"AJ8888","1490",,"2016-01-01 00:00:00"
"AJ8896","1290",,"2016-01-01 00:00:00"
"AJ8921","690",,"2016-01-01 00:00:00"
"AJ8954","790",,"2016-01-01 00:00:00"
"AJ9249","1690",,"2016-15-01 00:00:00"
"AJ9270","1690",,"2016-01-01 00:00:00"
"AJ9275","1690",,"2016-01-01 00:00:00"
"AJ9289","1690",,"2016-15-01 00:00:00"
"AJ9325","890",,"2016-01-02 00:00:00"
"AJ9333","1090",,"2016-01-02 00:00:00"
"AJ9442","1390",,"2016-01-02 00:00:00"
"AJ9463","180",,"2016-01-02 00:00:00"
"AJ9464","180",,"2016-01-02 00:00:00"
"AJ9465","1290",,"2016-01-02 00:00:00"
"AJ9466","180",,"2016-01-02 00:00:00"
"AJ9523","2890",,"2016-01-02 00:00:00"
"AJ9699","1390",,"2016-01-02 00:00:00"
"AJ9700","1390",,"2016-01-02 00:00:00"
"AJ9705","790",,"2016-01-01 00:00:00"
"AJ9713","590",,"2016-01-01 00:00:00"
"AJ9908","590",,"2016-01-01 00:00:00"
"AJ9936","890",,"2016-01-01 00:00:00"
"AJ9982","1390",,"2016-01-02 00:00:00"
"AJ9983","1390",,"2016-01-02 00:00:00"
