ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AI0729,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/club-polo-shirt-bbk22.html?a=214_55990
AI0746,90,,90.00,,Yes,Success,2016-01-10 00:00:00,http://adidasmystg.specom.io/court-tee-bbk46.html?a=214_56012
AI0821,89,,89.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/made-in-march-tank-top-bdn77.html?a=214_49723
AI0874,140,,140.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/climachill-tee-lpa79.html?a=214_48147
AI1130,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/club-tee-bbk78.html?a=214_55962
AI1140,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/sequentials-core-tennis-shorts-bbk88.html?a=214_55974
AI1144,90,,90.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/court-skort-bbk91.html?a=214_55966
AI2953,150,,150.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/techfit-printed-heather-capris-lpd90.html?a=214_55905
AI3174,160,,160.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/supernova-tunic-bbn22.html?a=214_49251
AI3178,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adizero-singlet-bcq28.html?a=214_56768
AI3180,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adizero-tee-bcq29.html?a=214_56719
AI3183,170,,170.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/adizero-split-shorts-bcq30.html?a=214_56814
AI3206,100,,100.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/m10-graphic-shorts-bbm63.html?a=214_56698
AI3210,150,,150.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/grete-graphic-shorts-bbm64.html?a=214_49233
