"articlenumber_value","price","special_price","releasedate"
"AK0707","799000",,"2016-01-02 00:00:00"
"AK0718","499000",,"2016-01-02 00:00:00"
"AK0946","299000",,"2016-01-01 00:00:00"
"AK0971","499000",,"2016-01-02 00:00:00"
"AK0980","769000",,"2016-01-02 00:00:00"
"AK1535","349000",,"2016-01-01 00:00:00"
"AK1617","329000",,"2016-01-02 00:00:00"
"AK1618","329000",,"2016-01-01 00:00:00"
"AK1757","459000",,"2016-01-02 00:00:00"
"AK1764","399000",,"2016-01-01 00:00:00"
"AK1765","399000",,"2016-01-02 00:00:00"
"AK1794","299000",,"2016-01-02 00:00:00"
"AK1795","299000",,"2016-01-02 00:00:00"
"AK1796","299000",,"2016-01-02 00:00:00"
"AK1798","299000",,"2016-01-01 00:00:00"
"AK1801","599000",,"2016-01-02 00:00:00"
"AK1822","429000",,"2016-01-02 00:00:00"
"AK1823","429000",,"2016-01-02 00:00:00"
"AK1945","599000",,"2016-01-02 00:00:00"
"AK1959","299000",,"2016-01-02 00:00:00"
"AK2036","299000",,"2016-01-02 00:00:00"
"AK2066","299000",,"2016-01-02 00:00:00"
"AK2094","469000",,"2016-01-02 00:00:00"
"AK2146","449000",,"2016-01-01 00:00:00"
"AK2259","369000",,"2016-01-01 00:00:00"
"AK2472","499000",,"2016-01-02 00:00:00"
"AK2518","399000",,"2016-01-01 00:00:00"
"AK2700","349000",,"2016-01-02 00:00:00"
"AK2701","349000",,"2016-01-02 00:00:00"
"AK2709","299000",,"2016-01-02 00:00:00"
"AN9907","449000",,"2016-01-02 00:00:00"
"AN9959","399000",,"2016-01-01 00:00:00"
"AO0515","149000",,"2016-01-01 00:00:00"
"AO0517","169000",,"2016-01-07 00:00:00"
"AO1585","749000",,"2016-01-02 00:00:00"
"AO2289","549000",,"2016-15-01 00:00:00"
"AO2532","259000",,"2016-01-02 00:00:00"
"AO2533","259000",,"2016-01-02 00:00:00"
"AO3414","299000",,"2016-01-02 00:00:00"
"AO3933","299000",,"2016-01-02 00:00:00"
"AP9775","1199000",,"2016-01-02 00:00:00"
"AQ1331","639000",,"2016-01-02 00:00:00"
"AQ1362","729000",,"2016-01-01 00:00:00"
"AQ1430","799000",,"2016-01-01 00:00:00"
"AQ1489","879000",,"2016-01-02 00:00:00"
"AQ1490","879000",,"2016-01-02 00:00:00"
"AQ1491","879000",,"2016-01-02 00:00:00"
"AQ1557","729000",,"2016-01-02 00:00:00"
"AQ2555","1299000",,"2016-29-01 00:00:00"
"AQ2590","1299000",,"2016-29-01 00:00:00"
"AQ3082","3999000",,"2016-29-01 00:00:00"
"AQ3925","1299000",,"2016-29-01 00:00:00"
"AQ4439","1899000",,"2016-01-02 00:00:00"
"AQ4440","1899000",,"2016-01-02 00:00:00"
"AQ4441","1899000",,"2016-01-02 00:00:00"
"AQ4442","1899000",,"2016-01-02 00:00:00"
"AQ4895","1599000",,"2016-05-02 00:00:00"
"AQ4901","999000",,"2016-05-02 00:00:00"
"AQ4935","419000",,"2016-01-02 00:00:00"
"AQ4936","419000",,"2016-01-02 00:00:00"
"AQ5050","419000",,"2016-01-02 00:00:00"
"AQ5069","649000",,"2016-05-02 00:00:00"
"AQ5151","3999000",,"2016-29-01 00:00:00"
"AQ5256","239000",,"2016-01-01 00:00:00"
"AQ6279","799000",,"2016-01-02 00:00:00"
"AQ6280","699000",,"2016-01-02 00:00:00"
"AQ6680","1899000",,"2016-03-02 00:00:00"
"AQ6681","1899000",,"2016-03-02 00:00:00"
"AQ6682","1899000",,"2016-03-02 00:00:00"
"AQ6722","1999000",,"2016-01-02 00:00:00"
"AQ6723","1999000",,"2016-01-02 00:00:00"
"AQ6724","1999000",,"2016-01-02 00:00:00"
"AQ6726","1999000",,"2016-11-02 00:00:00"
"AQ6761","2099000",,"2016-24-02 00:00:00"
"AQ6763","2099000",,"2016-24-02 00:00:00"
"AQ7412","2399000",,"2016-01-02 00:00:00"
"AZ3246","1099000",,"2016-01-02 00:00:00"
"AZ4939","449000",,"2016-01-02 00:00:00"
"AZ4941","449000",,"2016-01-02 00:00:00"
"AZ4943","549000",,"2016-01-02 00:00:00"
"AZ4946","999000",,"2016-01-02 00:00:00"
"B27136","1099000",,"2015-01-02 00:00:00"
"B40197","729000",,"2016-01-02 00:00:00"
"B48968","449000",,"2016-01-02 00:00:00"
"B48970","449000",,"2016-01-02 00:00:00"
"B48974","999000",,"2016-01-02 00:00:00"
"B48990","529000",,"2016-01-02 00:00:00"
"D67479","229000",,"2014-01-06 00:00:00"
"F37122","1999000",,"2016-01-02 00:00:00"
"F37123","1999000",,"2016-01-02 00:00:00"
"F37124","1999000",,"2016-05-02 00:00:00"
"F99357","669000",,"2016-01-01 00:00:00"
"F99567","799000",,"2016-01-01 00:00:00"
"F99667","799000",,"2016-01-01 00:00:00"
"G06799","229000",,"2011-01-08 00:00:00"
"M20607","749000",,"2015-01-10 00:00:00"
"S11629","199000",,"2015-22-07 00:00:00"
"S12328","429000",,"2015-01-04 00:00:00"
"S14294","849000",,"2015-13-05 00:00:00"
"S17593","229000",,"2015-01-03 00:00:00"
"S17995","329000",,"2015-01-05 00:00:00"
"S21319","599000",,"2016-01-02 00:00:00"
"S21320","599000",,"2016-01-02 00:00:00"
"S21336","599000",,"2016-01-02 00:00:00"
"S21338","599000",,"2016-01-02 00:00:00"
"S21490","199000",,"2016-01-07 00:00:00"
"S21998","99000",,"2015-01-01 00:00:00"
"S23015","299000",,"2016-01-01 00:00:00"
"S32010","1449000",,"2016-01-01 00:00:00"
"S74514","799000",,"2016-01-02 00:00:00"
"S74515","799000",,"2016-01-02 00:00:00"
"S74516","799000",,"2016-01-02 00:00:00"
"S74595","2799000",,"2016-05-02 00:00:00"
"S74598","549000",,"2016-29-01 00:00:00"
"S74602","649000",,"2016-29-01 00:00:00"
"S74605","549000",,"2016-29-01 00:00:00"
"S74615","1599000",,"2016-29-01 00:00:00"
"S74632","999000",,"2016-29-01 00:00:00"
"S74633","999000",,"2016-05-02 00:00:00"
"S74637","749000",,"2016-29-01 00:00:00"
"S74645","999000",,"2016-29-01 00:00:00"
"S74650","749000",,"2016-29-01 00:00:00"
"S74672","1599000",,"2016-29-01 00:00:00"
"S74679","2799000",,"2016-26-02 00:00:00"
"S74683","299000",,"2016-01-02 00:00:00"
"S74685","299000",,"2016-01-02 00:00:00"
"S74734","349000",,"2016-01-02 00:00:00"
"S74735","349000",,"2016-01-02 00:00:00"
"S75126","1199000",,"2016-01-01 00:00:00"
"S75138","1599000",,"2016-01-01 00:00:00"
"S75157","1099000",,"2016-01-02 00:00:00"
"S75158","1099000",,"2016-01-02 00:00:00"
"S75246","1799000",,"2016-11-02 00:00:00"
"S75247","1799000",,"2016-11-02 00:00:00"
"S75556","1299000",,"2016-01-01 00:00:00"
"S77982","279000",,"2016-01-01 00:00:00"
"S77990","239000",,"2016-01-01 00:00:00"
"S78394","1499000",,"2016-01-08 00:00:00"
"S78976","1299000",,"2016-01-01 00:00:00"
"S79021","1399000",,"2016-01-01 00:00:00"
"S79023","1399000",,"2016-01-01 00:00:00"
