"articlenumber_value","price","special_price","releasedate"
"AJ5523","1895",,"2016-01-02 00:00:00"
"AJ5524","1895",,"2016-01-02 00:00:00"
"AJ5553","3595",,"2016-01-02 00:00:00"
"AJ5563","2495",,"2016-01-07 00:00:00"
"AJ5577","2495",,"2016-01-02 00:00:00"
"AJ5590","995",,"2016-01-02 00:00:00"
"AJ5591","995",,"2016-01-02 00:00:00"
"AJ5712","3495",,"2016-01-01 00:00:00"
"AJ5739","1095",,"2016-01-07 00:00:00"
"AJ5743","1295",,"2016-01-07 00:00:00"
"AJ5750","1495",,"2016-01-02 00:00:00"
"AJ5751","1495",,"2016-01-01 00:00:00"
"AJ5757","1295",,"2016-01-07 00:00:00"
"AJ5762","1095",,"2016-01-07 00:00:00"
"AJ6044","1295",,"2016-01-02 00:00:00"
"AJ6053","3595",,"2016-01-02 00:00:00"
"AJ6131","1195",,"2016-01-01 00:00:00"
"AJ6278","1895",,"2016-01-02 00:00:00"
"AJ6279","1495",,"2016-01-02 00:00:00"
"AJ6393","1495",,"2016-01-01 00:00:00"
"AJ6412","1295",,"2016-01-01 00:00:00"
"AJ6586","1995",,"2016-01-01 00:00:00"
"AJ6588","1995",,"2016-01-02 00:00:00"
"AJ7012","1295",,"2016-01-01 00:00:00"
"AJ7018","1495",,"2016-01-01 00:00:00"
"AJ7099","3495",,"2016-01-02 00:00:00"
"AJ7108","1495",,"2016-01-02 00:00:00"
"AJ7142","1695",,"2016-01-02 00:00:00"
"AJ7166","1495",,"2016-01-02 00:00:00"
"AJ7183","1495",,"2016-01-01 00:00:00"
"AJ7343","6995",,"2016-30-01 00:00:00"
"AJ7387","1395",,"2016-01-02 00:00:00"
"AJ7634","2895",,"2016-01-01 00:00:00"
"AJ7830","1695",,"2016-01-02 00:00:00"
"AJ7880","2695",,"2016-01-02 00:00:00"
"AJ7882","3695",,"2016-01-02 00:00:00"
"AJ7888","3695",,"2016-01-01 00:00:00"
"AJ7889","3695",,"2016-01-01 00:00:00"
"AJ7903","1895",,"2016-01-01 00:00:00"
"AJ8148","3495",,"2016-01-01 00:00:00"
"AJ8153","1395",,"2016-01-01 00:00:00"
"AJ8413","2995",,"2016-01-01 00:00:00"
"AJ8527","1695",,"2016-15-01 00:00:00"
"AJ8705","995",,"2016-01-01 00:00:00"
"AJ8860","1695",,"2016-01-02 00:00:00"
"AJ8867","3495",,"2016-01-02 00:00:00"
"AJ8868","3295",,"2016-01-02 00:00:00"
"AJ8869","1995",,"2016-01-02 00:00:00"
"AJ8870","2295",,"2016-01-02 00:00:00"
"AJ8880","1895",,"2016-01-01 00:00:00"
"AJ8888","1895",,"2016-01-01 00:00:00"
"AJ8921","795",,"2016-01-01 00:00:00"
"AJ8954","995",,"2016-01-01 00:00:00"
"AJ9249","2295",,"2016-15-01 00:00:00"
"AJ9289","2295",,"2016-15-01 00:00:00"
"AJ9325","995",,"2016-01-02 00:00:00"
"AJ9333","1295",,"2016-01-02 00:00:00"
"AJ9442","1595",,"2016-01-02 00:00:00"
"AJ9463","295",,"2016-01-02 00:00:00"
"AJ9464","295",,"2016-01-02 00:00:00"
"AJ9465","295",,"2016-01-02 00:00:00"
"AJ9466","295",,"2016-01-02 00:00:00"
"AJ9523","3695",,"2016-01-02 00:00:00"
"AJ9525","695",,"2016-01-01 00:00:00"
"AJ9535","1195",,"2016-01-01 00:00:00"
"AJ9699","1595",,"2016-01-02 00:00:00"
"AJ9700","1595",,"2016-01-02 00:00:00"
"AJ9705","895",,"2016-01-01 00:00:00"
"AJ9713","795",,"2016-01-01 00:00:00"
"AJ9908","795",,"2016-01-01 00:00:00"
"AJ9936","1295",,"2016-01-01 00:00:00"
"AJ9982","1595",,"2016-01-02 00:00:00"
"AJ9983","1595",,"2016-01-02 00:00:00"
"AJ9984","1595",,"2016-01-02 00:00:00"
"AJ9988","795",,"2016-01-02 00:00:00"
"AJ9989","795",,"2016-01-02 00:00:00"
"AJ9991","2195",,"2016-01-02 00:00:00"
"AJ9992","2195",,"2016-01-02 00:00:00"
"AJ9993","1895",,"2016-01-02 00:00:00"
"AJ9994","1895",,"2016-01-02 00:00:00"
"AJ9997","1595",,"2016-01-02 00:00:00"
