2016-12-20 13:47:36,097 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Connection: Keep-Alive
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Accept-Encoding: gzip,deflate
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/window/maximize HTTP/1.1[\r][\n]"
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Content-Length: 2[\r][\n]"
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Host: localhost:17250[\r][\n]"
2016-12-20 13:47:36,097 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
2016-12-20 13:47:36,098 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)[\r][\n]"
2016-12-20 13:47:36,098 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-12-20 13:47:36,098 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "[\r][\n]"
2016-12-20 13:47:36,098 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "{}"
2016-12-20 13:47:36,104 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "HTTP/1.1 200 OK[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "Connection: close[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "Content-Type: application/json[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "Content-Length: 2[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "Date: Tue, 20 Dec 2016 08:17:36 GMT[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "[\r][\n]"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "{}"
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.headers  - http-outgoing-1 << HTTP/1.1 200 OK
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.headers  - http-outgoing-1 << Connection: close
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.headers  - http-outgoing-1 << Content-Type: application/json
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.headers  - http-outgoing-1 << Content-Length: 2
2016-12-20 13:47:36,105 [DEBUG] org.apache.http.headers  - http-outgoing-1 << Date: Tue, 20 Dec 2016 08:17:36 GMT
2016-12-20 13:47:36,106 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1: Close connection
2016-12-20 13:47:36,106 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
2016-12-20 13:47:36,106 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 1][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:36,109 [DEBUG] devpinoyLogger  - Browser launched is firefox and maximized..
2016-12-20 13:47:36,225 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
2016-12-20 13:47:36,225 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2016-12-20 13:47:36,226 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:17250][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-12-20 13:47:36,226 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 2][route: {}->http://localhost:17250][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-12-20 13:47:36,226 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:17250
2016-12-20 13:47:36,226 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:17250
2016-12-20 13:47:36,226 [DEBUG] org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:21314<->127.0.0.1:17250
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: set socket timeout to 10800000
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/url HTTP/1.1
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/url HTTP/1.1
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Content-Type: application/json; charset=utf-8
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Content-Length: 26
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Host: localhost:17250
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Connection: Keep-Alive
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.headers  - http-outgoing-2 >> Accept-Encoding: gzip,deflate
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "POST /session/6f30f7de-e0c2-4136-aae7-756b9cb647e8/url HTTP/1.1[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Content-Length: 26[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Host: localhost:17250[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.5.2 (Java/1.8.0_51)[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "[\r][\n]"
2016-12-20 13:47:36,227 [DEBUG] org.apache.http.wire  - http-outgoing-2 >> "{"url":"http://gmail.com"}"
2016-12-20 13:47:39,386 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "HTTP/1.1 200 OK[\r][\n]"
2016-12-20 13:47:39,386 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "Date: Tue, 20 Dec 2016 08:17:39 GMT[\r][\n]"
2016-12-20 13:47:39,386 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "Content-Type: application/json[\r][\n]"
2016-12-20 13:47:39,386 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "Content-Length: 2[\r][\n]"
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "Connection: close[\r][\n]"
2016-12-20 13:47:39,387 [DEBUG] org.apache.http.wire  - http-outgoing-2 << "[\r][\n]"
